cadastral_name,arabic_name,likely_community_name,confidence,category,transaction_count,has_full_data,has_price,has_rent,has_yield,unit_sales,villa_sales,land_sales,unit_share_pct,nearest_landmark,nearest_metro,master_projects_top3,action_needed
Madinat Al Mataar,مدينة المطار,Dubai World Central,high,A,4912,Y,Y,Y,Y,25086,12112,1957,63.9,Expo 2020 Site,UAE Exchange Metro Station,Dubai World Central | Dubai South Residential District | EXPO CITY,Surface as 'Dubai World Central' (alias → Madinat Al Mataar)
Palm Deira,نخلة ديرة,,low,A,2820,N,Y,N,N,8372,0,1214,87.3,Dubai International Airport,Palm Deira Metro Stations,Palm Deira,Partial data exists — needs rent/yield ETL or alias
Al Hebiah Fifth,الحبيه الخامسة,Remraam,high,A,1918,Y,Y,Y,Y,15542,534,13577,52.4,Motor City,,Remraam | DAMAC Lagoons,Surface as 'Remraam' (alias → Al Hebiah Fifth)
Jabal Ali First,جبل علي الأولى,Al Furjan,high,A,1646,Y,Y,Y,Y,47762,7272,7946,75.5,Sports City Swimming Academy,Ibn Battuta Metro Station,Al Furjan | Discovery Gardens | Wasl Gate,Surface as 'Al Furjan' (alias → Jabal Ali First)
Burj Khalifa,برج خليفة,DownTown Dubai,high,A,1525,Y,Y,Y,Y,72002,0,512,99.1,Downtown Dubai,Burj Khalifa Dubai Mall Metro Station,DownTown Dubai | Business Bay | Burj Khalifa,Surface as 'DownTown Dubai' (alias → Burj Khalifa)
Al Khairan First,الخيران الأولى,Dubai Creek Harbour,high,A,1388,Y,Y,Y,Y,29510,0,21,99.9,Dubai International Airport,Creek Metro Station,Dubai Creek Harbour | The Lagoons,Surface as 'Dubai Creek Harbour' (alias → Al Khairan First)
Madinat Hind 4,مدينة هند 4,DAMAC HILLS 2,high,A,1242,Y,Y,Y,Y,3644,0,12649,22.4,,,DAMAC HILLS 2,Surface as 'DAMAC HILLS 2' (alias → Madinat Hind 4)
Al Yelayiss 2,اليلايس 2,TOWN SQUARE,high,A,1011,Y,Y,Y,Y,15856,9800,94,61.6,Dubai Cycling Course,,TOWN SQUARE,Surface as 'TOWN SQUARE' (alias → Al Yelayiss 2)
Al Satwa,السطوه,Jumeirah Garden City,high,A,981,Y,Y,Y,Y,2551,662,1236,53.8,Burj Khalifa,Trade Centre Metro Station,Jumeirah Garden City,Surface as 'Jumeirah Garden City' (alias → Al Satwa)
Hadaeq Sheikh Mohammed Bin Rashid,حدائق الشيخ محمد بن راشد,Dubai Hills Estate,high,A,877,Y,Y,Y,Y,28773,10165,3999,67.0,Burj Al Arab,First Abu Dhabi Bank Metro Station,Dubai Hills Estate | HADAEQ SHEIKH MOHAMMED BIN RASHID - DISRICT 7 | DUBAI HILLS - MAPLE 1,Surface as 'Dubai Hills Estate' (alias → Hadaeq Sheikh Mohammed Bin Rashid)
