marketing_name,dld_area_en,confidence,note,unmatched_targets_review
Downtown Dubai,BURJ KHALIFA,high,Downtown = Burj Khalifa cadastral district,
Downtown,BURJ KHALIFA,high,alias of Downtown Dubai,
Expo City,Madinat Al Mataar,high,Expo City / Expo 2020 district,
Expo City Dubai,Madinat Al Mataar,high,,
Dubai Marina,DUBAI MARINA|Marsa Dubai,high,Marsa Dubai is Marina's official cadastral name,
Marina,DUBAI MARINA|Marsa Dubai,high,,
Dubailand,DUBAI LAND RESIDENCE COMPLEX|MAJAN|LIWAN|LIWAN 2|Wadi Al Safa 5|Wadi Al Safa 7,medium,Dubailand is a super-district spanning several cadastral areas,
Dubai Land,DUBAI LAND RESIDENCE COMPLEX|MAJAN,medium,,
Sobha Hartland,SOBHA HEARTLAND,high,DLD spells it HEARTLAND,
Sobha Hartland 2,SOBHA HEARTLAND,medium,H2 not separately coded,
MBR City,Hadaeq Sheikh Mohammed Bin Rashid|MEYDAN ONE|MBR DISTRICT 1|MBR DISTRICT 7|Al Merkadh|Bukadra,medium,Mohammed Bin Rashid City master district,
Mohammed Bin Rashid City,Hadaeq Sheikh Mohammed Bin Rashid|MBR DISTRICT 1|MBR DISTRICT 7,medium,,
Meydan,MEYDAN ONE|MEYDAN AVENUE|Nad Al Shiba First|Nad Al Sheba Gardens,medium,,
Dubai Hills Estate,DUBAI HILLS,high,,
Dubai Hills,DUBAI HILLS,high,,
Dubai Creek Harbour,DUBAI CREEK HARBOUR|Al Khairan First,high,Al Khairan First is the cadastral area,
Creek Harbour,DUBAI CREEK HARBOUR|Al Khairan First,high,,
JLT,JUMEIRAH LAKES TOWERS,high,,
Jumeirah Lakes Towers,JUMEIRAH LAKES TOWERS,high,,
JVC,JUMEIRAH VILLAGE CIRCLE,high,,
Jumeirah Village Circle,JUMEIRAH VILLAGE CIRCLE,high,,
JVT,JUMEIRAH VILLAGE TRIANGLE,high,,
Jumeirah Village Triangle,JUMEIRAH VILLAGE TRIANGLE,high,,
JBR,JUMEIRAH BEACH RESIDENCE,high,,
Jumeirah Beach Residence,JUMEIRAH BEACH RESIDENCE,high,,
Maritime City,DUBAI MARITIME CITY|Madinat Dubai Almelaheyah,high,Madinat Dubai Almelaheyah = Maritime City in Arabic,
Dubai Maritime City,DUBAI MARITIME CITY|Madinat Dubai Almelaheyah,high,,
Business Bay,BUSINESS BAY,high,also dedupe casing variant 'Business Bay',
Palm Jumeirah,PALM JUMEIRAH,high,dedupe casing variant,
Palm Jebel Ali,Palm Jabal Ali,high,,
Emaar Beachfront,DUBAI HARBOUR|Marsa Dubai,medium,Emaar Beachfront sits in Dubai Harbour,
Dubai Harbour,DUBAI HARBOUR,high,,
Emaar South,EMAAR SOUTH,high,,
Dubai South,DUBAI SOUTH|Madinat Al Mataar|Saih Shuaib 1|Saih Shuaib 2,medium,Dubai South master spans several cadastral zones,
DAMAC Hills,DAMAC HILLS,high,,
DAMAC Hills 2,Al Hebiah Fifth|Al Hebiah Fourth|Al Hebiah Sixth,medium,Akoya / DAMAC Hills 2 = Al Hebiah cadastral,
Akoya,Al Hebiah Fifth|Al Hebiah Fourth,medium,,
DAMAC Lagoons,Al Hebiah Fifth,high,verified via DAMAC Lagoons projects' area,
Arabian Ranches,ARABIAN RANCHES I|ARABIAN RANCHES II|ARABIAN RANCHES III|Wadi Al Safa 5|Wadi Al Safa 7,high,,
Town Square,TOWN SQUARE,high,Nshama Town Square,
Tilal Al Ghaf,TILAL AL GHAF,high,,
The Valley,THE VALLEY,high,,
City Walk,CITY WALK|Al Wasl,high,,
Bluewaters,BLUEWATERS,high,,
Bluewaters Island,BLUEWATERS,high,,
Discovery Gardens,DISCOVERY GARDENS,high,,
Jumeirah Golf Estates,JUMEIRAH GOLF,high,,
Dubai Production City,DUBAI PRODUCTION CITY,high,fka IMPZ,
IMPZ,DUBAI PRODUCTION CITY,high,,
Dubai Studio City,DUBAI STUDIO CITY,high,,
Dubai Silicon Oasis,SILICON OASIS,high,,
DSO,SILICON OASIS,high,,
Motor City,MOTOR CITY,high,,
Dubai Sports City,DUBAI SPORTS CITY,high,,
Sports City,DUBAI SPORTS CITY,high,,
Al Furjan,AL FURJAN,high,,
International City,INTERNATIONAL CITY PH 1|INTERNATIONAL CITY PH 2 & 3,high,,
Dubai Islands,PALM DEIRA|Madinat Dubai Almelaheyah,medium,Deira Islands / Dubai Islands,
Deira Islands,PALM DEIRA,medium,,
Palm Deira,PALM DEIRA|Palm Deira,high,dedupe casing,
Mina Rashid,MINA RASHID,high,,
Rashid Yachts & Marina,MINA RASHID,medium,,
Dubai Water Canal,DUBAI WATER CANAL,high,,
Al Wasl,Al Wasl,high,,
Jaddaf,JADDAF WATERFRONT|Al Jadaf|SAMA AL JADAF,high,,
