community_name,cadastral_area,unit_sales_count,has_price,has_rent,has_yield,full_triad
Business Bay,Business Bay,102419,Y,Y,Y,Y
Jumeirah Village Circle,Al Barsha South Fourth,98746,Y,Y,Y,Y
Dubai Marina,Marsa Dubai,96602,Y,Y,Y,Y
DMCC Master Community,Al Thanyah Fifth,81621,Y,Y,Y,Y
DownTown Dubai,Burj Khalifa,71512,Y,Y,Y,Y
International City Phase 1,Al Warsan First,54316,Y,Y,Y,Y
Palm Jumeirah,Palm Jumeirah,36217,Y,Y,Y,Y
Dubai Sports City,Al Hebiah Fourth,34720,Y,Y,Y,Y
Dubai Land Residence Complex,Wadi Al Safa 5,32269,Y,Y,Y,Y
Silicon Oasis,Nadd Hessa,32054,Y,Y,Y,Y
Dubai Creek Harbour,Al Khairan First,29510,Y,Y,Y,Y
Dubai Hills Estate,Hadaeq Sheikh Mohammed Bin Rashid,27088,Y,Y,Y,Y
Arjan,Al Barshaa South Third,26639,Y,Y,Y,Y
The Greens,Al Thanyah Third,26400,Y,Y,Y,Y
International Media Production Zone,Me'Aisem First,25532,Y,Y,Y,Y
Motor City,Al Hebiah First,22577,Y,Y,Y,Y
Jumeriah Beach Residence  - JBR,Marsa Dubai,22118,Y,Y,Y,Y
Al Furjan,Jabal Ali First,21178,Y,Y,Y,Y
Discovery Gardens,Jabal Ali First,18878,Y,Y,Y,Y
Meydan One Community,Al Merkadh,16751,Y,Y,Y,Y
Jumeirah Village Triangle,Al Barsha South Fifth,16516,Y,Y,Y,Y
SOBHA HARTLAND,Al Merkadh,16299,Y,Y,Y,Y
TOWN SQUARE,Al Yelayiss 2,15855,Y,Y,Y,Y
Dubai Harbour,Marsa Dubai,13305,Y,Y,Y,Y
Remraam,Al Hebiah Fifth,12332,Y,Y,Y,Y
DAMAC HILLS,Al Hebiah Third,12174,Y,Y,Y,Y
Majan,Wadi Al Safa 3,11734,Y,Y,Y,Y
Dubai Science Park,Al Barshaa South Second,11717,Y,Y,Y,Y
Liwan1,Wadi Al Safa 2,11236,Y,Y,Y,Y
Dubai World Central,Madinat Al Mataar,10732,Y,Y,Y,Y
Dubai South Residential District,Madinat Al Mataar,10484,Y,Y,Y,Y
Dubai Maritime City,Madinat Dubai Almelaheyah,9855,Y,Y,Y,Y
City Walk,Al Wasl,9304,Y,Y,Y,Y
Barsha Heights,Al Thanyah First,8149,Y,Y,Y,Y
Dubai Health Care City Phase 2,Al Jadaf,7067,Y,Y,Y,Y
Meydan Racecourse Community,Nad Al Shiba First,5744,Y,Y,Y,Y
Jaddaf Waterfront,Al Jadaf,5688,Y,Y,Y,Y
Dubai Studio City,Al Hebiah Second,5626,Y,Y,Y,Y
International City Phase 3,Warsan Fourth,5556,Y,Y,Y,Y
Dubai Investment Park First,Dubai Investment Park First,4817,Y,Y,Y,Y
Mina Rashid,Madinat Dubai Almelaheyah,4576,Y,Y,Y,Y
Wasl 1,Al Kifaf,4517,Y,Y,Y,Y
Mohammed Bin Rashid AL Maktoum City -District -1 Community,Al Merkadh,4143,Y,Y,Y,Y
Wasl Gate,Jabal Ali First,4093,Y,Y,Y,Y
EXPO CITY,Madinat Al Mataar,3870,Y,Y,Y,Y
Dubai Water Canal,Al Wasl,3646,Y,Y,Y,Y
DAMAC HILLS 2,Madinat Hind 4,3644,Y,Y,Y,Y
Down Town Jabal Ali,Jabal Ali Industrial Second,3519,Y,Y,Y,Y
LA MER,Jumeirah First,3016,Y,Y,Y,Y
Jumeirah Garden City,Al Satwa,2551,Y,Y,Y,Y
Dubai Investment Park Second,Dubai Investment Park Second,2384,Y,Y,Y,Y
DMCC-EZ2,Jabal Ali First,2167,Y,Y,Y,Y
DAMAC Lagoons,Al Hebiah Fifth,2054,Y,Y,Y,Y
Sufouh Gardens,Al Safouh First,1991,Y,Y,Y,Y
Jumeirah Islands,Al Thanyah Fifth,1812,Y,Y,Y,Y
Jumeirah Golf Estates,Me'Aisem First,1812,Y,Y,Y,Y
Site A,Al Safouh Second,1739,Y,Y,Y,Y
Bluewaters Island,Marsa Dubai,1722,Y,Y,Y,Y
Living Legends,Wadi Al Safa 3,1722,Y,Y,Y,Y
HADAEQ SHEIKH MOHAMMED BIN RASHID - DISRICT 7,Hadaeq Sheikh Mohammed Bin Rashid,1685,Y,Y,Y,Y
City Of Arabia,Wadi Al Safa 4,1614,Y,Y,Y,Y
Rukan,Wadi Al Safa 7,1354,Y,Y,Y,Y
Business Park,Zaabeel Second,1282,Y,Y,Y,Y
Al Barari,Wadi Al Safa 3,1263,Y,Y,Y,Y
Uptown Mirdif,Mirdif,1115,Y,Y,Y,Y
WARSAN FIRST DEVELOPMENT,Al Warsan First,1097,Y,Y,Y,Y
Madinat Badr,Muhaisanah First,1040,Y,Y,Y,Y
Festival City,Al Kheeran,1034,Y,Y,Y,Y
Falcon City,Wadi Al Safa 2,904,Y,Y,Y,Y
Mohammed Bin Rashid AL Maktoum District 11,Wadi Al Safa 3,848,Y,Y,Y,Y
TECOM Site D,Marsa Dubai,773,Y,Y,Y,Y
Al Waha Villas,Wadi Al Safa 7,656,Y,Y,Y,Y
Jumeira Bay,Island 2,487,Y,Y,Y,Y
Badra,Hessyan First,466,Y,Y,Y,Y
Sama Al Jadaf,Al Jadaf,439,Y,Y,Y,Y
Mudon,Al Hebiah Sixth,366,Y,Y,Y,Y
Dubai Health Care City Phase 1,Um Hurair Second,275,Y,Y,Y,Y
Dubai International Financial Center,Zaabeel Second,164,Y,Y,Y,Y
Nad Al Sheba Gardens,Nad Al Shiba First,155,Y,Y,Y,Y
Pearl Jumeira,Jumeirah First,140,Y,Y,Y,Y
